epoch,phase,loss,acc
0,train,2.1591,0.4753
0,val,1.3860,0.6463
1,train,1.4413,0.6166
1,val,1.1038,0.6970
2,train,1.2489,0.6550
2,val,0.7695,0.7698
3,train,1.0844,0.7035
3,val,0.7326,0.7893
4,train,1.0095,0.7163
4,val,0.7250,0.7731
5,train,0.9429,0.7304
5,val,0.5898,0.8140
6,train,0.8610,0.7539
6,val,0.5457,0.8296
7,train,0.8111,0.7680
7,val,0.5521,0.8381
8,train,0.7837,0.7725
8,val,0.5119,0.8446
9,train,0.7640,0.7784
9,val,0.5568,0.8336
10,train,0.7649,0.7768
10,val,0.5743,0.8368
11,train,0.7362,0.7862
11,val,0.5999,0.8179
12,train,0.6991,0.7977
12,val,0.4503,0.8609
13,train,0.6798,0.8044
13,val,0.5127,0.8537
14,train,0.6530,0.8112
14,val,0.4563,0.8661
15,train,0.6456,0.8072
15,val,0.4333,0.8693
16,train,0.6244,0.8199
16,val,0.4382,0.8687
17,train,0.6369,0.8112
17,val,0.4870,0.8544
18,train,0.6198,0.8193
18,val,0.3897,0.8732
19,train,0.6068,0.8223
19,val,2.4873,0.8244
20,train,0.6267,0.8197
20,val,0.4272,0.8784
21,train,0.5645,0.8308
21,val,0.4273,0.8648
22,train,0.6572,0.8072
22,val,0.4232,0.8687
23,train,0.5787,0.8307
23,val,0.4230,0.8888
24,train,0.5642,0.8358
24,val,0.4856,0.8622
25,train,0.5796,0.8311
25,val,0.3812,0.8791
26,train,0.5259,0.8441
26,val,0.4613,0.8641
27,train,0.5184,0.8421
27,val,0.4692,0.8778
28,train,0.5133,0.8425
28,val,0.4851,0.9038
29,train,0.5281,0.8452
29,val,0.4526,0.8680
30,train,0.4959,0.8500
30,val,0.3250,0.8979
31,train,0.4894,0.8507
31,val,0.5384,0.8628
32,train,0.5015,0.8534
32,val,0.3617,0.8940
33,train,0.5026,0.8518
33,val,0.3789,0.8947
34,train,0.4981,0.8502
34,val,0.5530,0.8420
35,train,0.4655,0.8564
35,val,0.3678,0.8940
