epoch,phase,loss,acc
0,train,2.7764,0.3682
0,val,1.8265,0.6216
1,train,1.7762,0.5788
1,val,1.2270,0.7191
2,train,1.3782,0.6552
2,val,0.8899,0.7731
3,train,1.1604,0.6951
3,val,0.6831,0.8114
4,train,1.0067,0.7281
4,val,0.5625,0.8407
5,train,0.9354,0.7417
5,val,0.4745,0.8622
6,train,0.8492,0.7603
6,val,0.4101,0.8804
7,train,0.7807,0.7860
7,val,0.3739,0.8843
8,train,0.7267,0.7946
8,val,0.3658,0.8862
9,train,0.6811,0.8055
9,val,0.3320,0.8960
10,train,0.6490,0.8118
10,val,0.3115,0.9005
11,train,0.5992,0.8294
11,val,0.3177,0.8960
12,train,0.5972,0.8309
12,val,0.3014,0.9044
13,train,0.5745,0.8367
13,val,0.2673,0.9116
14,train,0.5471,0.8448
14,val,0.2552,0.9200
15,train,0.5316,0.8451
15,val,0.2401,0.9207
16,train,0.5306,0.8484
16,val,0.2284,0.9291
17,train,0.4993,0.8574
17,val,0.2288,0.9285
18,train,0.4777,0.8628
18,val,0.2448,0.9226
19,train,0.4808,0.8635
19,val,0.2249,0.9291
20,train,0.4550,0.8706
20,val,0.2234,0.9259
21,train,0.4567,0.8673
21,val,0.2118,0.9272
22,train,0.4284,0.8781
22,val,0.2190,0.9291
23,train,0.4294,0.8746
23,val,0.2273,0.9278
24,train,0.4131,0.8810
24,val,0.2101,0.9304
25,train,0.4023,0.8830
25,val,0.2203,0.9278
26,train,0.4009,0.8803
26,val,0.2160,0.9298
27,train,0.3969,0.8902
27,val,0.2118,0.9285
28,train,0.3760,0.8898
28,val,0.2018,0.9330
29,train,0.3663,0.8927
29,val,0.2096,0.9324
30,train,0.3595,0.8940
30,val,0.2069,0.9376
31,train,0.3644,0.8925
31,val,0.2162,0.9311
32,train,0.3371,0.9038
32,val,0.2041,0.9291
33,train,0.3404,0.9009
33,val,0.2085,0.9356
34,train,0.3352,0.9025
34,val,0.2233,0.9324
35,train,0.3426,0.8992
35,val,0.1943,0.9343
36,train,0.3451,0.8960
36,val,0.2019,0.9298
37,train,0.3155,0.9084
37,val,0.1851,0.9369
38,train,0.3344,0.9014
38,val,0.1824,0.9408
39,train,0.3067,0.9095
39,val,0.1953,0.9356
40,train,0.3143,0.9056
40,val,0.2085,0.9337
41,train,0.3048,0.9090
41,val,0.2147,0.9272
42,train,0.3120,0.9039
42,val,0.1925,0.9402
43,train,0.3100,0.9071
43,val,0.2030,0.9356
44,train,0.2892,0.9171
44,val,0.2029,0.9343
