epoch,phase,loss,acc
0,train,2.2172,0.4555
0,val,1.3917,0.6294
1,train,1.4351,0.6125
1,val,1.0121,0.7100
2,train,1.2145,0.6644
2,val,0.8285,0.7386
3,train,1.0764,0.6978
3,val,0.6974,0.8004
4,train,0.9857,0.7244
4,val,0.7474,0.7744
5,train,0.9393,0.7402
5,val,0.7224,0.7796
6,train,0.8829,0.7449
6,val,0.7404,0.7802
7,train,0.8427,0.7536
7,val,0.6231,0.8212
8,train,0.8018,0.7688
8,val,0.5007,0.8576
9,train,0.7842,0.7714
9,val,0.6333,0.8056
10,train,0.7564,0.7820
10,val,0.5995,0.8218
11,train,0.7309,0.7904
11,val,0.4835,0.8446
12,train,0.7207,0.7957
12,val,0.5439,0.8270
13,train,0.6790,0.7995
13,val,0.4170,0.8719
14,train,0.6817,0.8002
14,val,0.4603,0.8583
15,train,0.6571,0.8055
15,val,0.4673,0.8674
16,train,0.6415,0.8111
16,val,0.4599,0.8550
17,train,0.6264,0.8139
17,val,0.3659,0.8856
18,train,0.6284,0.8158
18,val,0.4665,0.8563
19,train,0.5998,0.8176
19,val,0.3825,0.8765
20,train,0.6057,0.8227
20,val,0.4248,0.8752
21,train,0.6021,0.8214
21,val,0.3929,0.8823
22,train,0.5535,0.8402
22,val,0.4395,0.8700
23,train,0.5633,0.8362
23,val,0.3795,0.8843
24,train,0.5789,0.8326
24,val,0.3677,0.8862
25,train,0.5616,0.8340
25,val,0.5097,0.8498
26,train,0.5389,0.8449
26,val,0.3855,0.8862
27,train,0.5314,0.8421
27,val,0.4255,0.8791
28,train,0.5169,0.8427
28,val,0.3933,0.8817
29,train,0.5290,0.8432
29,val,0.3595,0.8992
30,train,0.5205,0.8469
30,val,0.3361,0.9070
31,train,0.5165,0.8516
31,val,0.4023,0.8817
32,train,0.4943,0.8553
32,val,0.4062,0.8810
33,train,0.5107,0.8523
33,val,0.3695,0.8901
34,train,0.5004,0.8493
34,val,0.3795,0.8934
35,train,0.4856,0.8541
35,val,0.3267,0.8979
36,train,0.4883,0.8537
36,val,0.3530,0.8940
37,train,0.4610,0.8635
37,val,0.3584,0.8940
38,train,0.4513,0.8670
38,val,0.3185,0.9031
39,train,0.4552,0.8648
39,val,0.3421,0.8992
40,train,0.4536,0.8625
40,val,0.4732,0.8628
41,train,0.4597,0.8623
41,val,0.3606,0.8908
42,train,0.4497,0.8672
42,val,0.3525,0.8927
43,train,0.4520,0.8662
43,val,0.4334,0.8849
44,train,0.4308,0.8702
44,val,0.4004,0.8804
45,train,0.4231,0.8732
45,val,0.3379,0.8908
46,train,0.4457,0.8652
46,val,0.3027,0.9096
47,train,0.4206,0.8751
47,val,0.3689,0.8979
48,train,0.4096,0.8762
48,val,0.3046,0.9109
49,train,0.4323,0.8719
49,val,0.3133,0.9083
50,train,0.3200,0.8996
50,val,0.2454,0.9259
51,train,0.3247,0.9014
51,val,0.2495,0.9252
52,train,0.2912,0.9122
52,val,0.2667,0.9194
53,train,0.2815,0.9146
53,val,0.2344,0.9233
54,train,0.3117,0.9032
54,val,0.2471,0.9226
55,train,0.2659,0.9196
55,val,0.2538,0.9226
56,train,0.2659,0.9186
56,val,0.2317,0.9246
57,train,0.2858,0.9116
57,val,0.2673,0.9187
58,train,0.2888,0.9119
58,val,0.2806,0.9200
59,train,0.2783,0.9169
59,val,0.2828,0.9200
60,train,0.2666,0.9197
60,val,0.2737,0.9233
61,train,0.2600,0.9196
61,val,0.2408,0.9239
62,train,0.2670,0.9181
62,val,0.2456,0.9239
63,train,0.2468,0.9256
63,val,0.2339,0.9278
64,train,0.2714,0.9141
64,val,0.2660,0.9252
65,train,0.2783,0.9167
65,val,0.2608,0.9278
66,train,0.2704,0.9154
66,val,0.2891,0.9220
67,train,0.2544,0.9221
67,val,0.2872,0.9200
68,train,0.2619,0.9246
68,val,0.2901,0.9155
69,train,0.2639,0.9192
69,val,0.2925,0.9187
70,train,0.2509,0.9256
70,val,0.3072,0.9220
71,train,0.2425,0.9256
71,val,0.2903,0.9194
72,train,0.2601,0.9202
72,val,0.2581,0.9285
73,train,0.2463,0.9207
73,val,0.2636,0.9272
74,train,0.2452,0.9245
74,val,0.3211,0.9187
75,train,0.2420,0.9257
75,val,0.2835,0.9200
76,train,0.2420,0.9301
