epoch,phase,loss,acc
0,train,3.0377,0.3070
0,val,1.8009,0.6027
1,train,1.6589,0.5984
1,val,0.9928,0.7471
2,train,1.2211,0.6875
2,val,0.7033,0.8108
3,train,0.9863,0.7370
3,val,0.5372,0.8433
4,train,0.8873,0.7549
4,val,0.4419,0.8706
5,train,0.7589,0.7902
5,val,0.4197,0.8706
6,train,0.6889,0.8049
6,val,0.3671,0.8862
7,train,0.6369,0.8189
7,val,0.3231,0.9051
8,train,0.5949,0.8277
8,val,0.3276,0.9012
9,train,0.5642,0.8388
9,val,0.2933,0.9109
10,train,0.5452,0.8453
10,val,0.2885,0.9083
11,train,0.5106,0.8537
11,val,0.2599,0.9148
12,train,0.5060,0.8533
12,val,0.2840,0.9057
13,train,0.4763,0.8540
13,val,0.2886,0.9090
14,train,0.4585,0.8685
14,val,0.2544,0.9168
15,train,0.4270,0.8748
15,val,0.2565,0.9233
16,train,0.4254,0.8747
16,val,0.2799,0.9129
17,train,0.4201,0.8783
17,val,0.2440,0.9226
18,train,0.4067,0.8842
18,val,0.2295,0.9278
19,train,0.3887,0.8831
19,val,0.2387,0.9246
20,train,0.3786,0.8895
20,val,0.2491,0.9233
21,train,0.3657,0.8943
21,val,0.2315,0.9265
22,train,0.3628,0.8947
22,val,0.2389,0.9285
23,train,0.3481,0.8997
23,val,0.2342,0.9252
24,train,0.3366,0.9024
24,val,0.2219,0.9350
25,train,0.3288,0.9052
25,val,0.2730,0.9213
26,train,0.3299,0.9059
26,val,0.2384,0.9324
27,train,0.3031,0.9097
27,val,0.2355,0.9343
28,train,0.2983,0.9084
28,val,0.2386,0.9298
29,train,0.3081,0.9088
29,val,0.2315,0.9298
30,train,0.2909,0.9179
30,val,0.2313,0.9272
31,train,0.2975,0.9122
31,val,0.2544,0.9220
32,train,0.2865,0.9134
32,val,0.2086,0.9304
33,train,0.2835,0.9154
33,val,0.2198,0.9317
34,train,0.2799,0.9178
34,val,0.2176,0.9330
35,train,0.2674,0.9214
35,val,0.2340,0.9298
36,train,0.2576,0.9232
36,val,0.2487,0.9337
37,train,0.2657,0.9235
37,val,0.2351,0.9369
38,train,0.2551,0.9243
38,val,0.2227,0.9343
39,train,0.2504,0.9253
39,val,0.2176,0.9356
40,train,0.2456,0.9264
40,val,0.2146,0.9389
41,train,0.2574,0.9262
41,val,0.2227,0.9402
42,train,0.2487,0.9269
42,val,0.2240,0.9415
43,train,0.2413,0.9271
43,val,0.2175,0.9408
44,train,0.2269,0.9323
44,val,0.2174,0.9350
45,train,0.2336,0.9309
45,val,0.2423,0.9356
46,train,0.2238,0.9336
46,val,0.2189,0.9389
47,train,0.2272,0.9323
47,val,0.2370,0.9330
48,train,0.2226,0.9323
48,val,0.2280,0.9369
49,train,0.2093,0.9406
49,val,0.2263,0.9389
50,train,0.2173,0.9354
50,val,0.2168,0.9428
51,train,0.2053,0.9382
51,val,0.2302,0.9369
52,train,0.1920,0.9429
52,val,0.2199,0.9382
53,train,0.1926,0.9420
53,val,0.2258,0.9395
54,train,0.2086,0.9407
54,val,0.2241,0.9415
55,train,0.1999,0.9401
55,val,0.2282,0.9382
56,train,0.1977,0.9422
56,val,0.2292,0.9382
57,train,0.1957,0.9429
57,val,0.2218,0.9363
58,train,0.1828,0.9456
58,val,0.2271,0.9395
59,train,0.1823,0.9476
59,val,0.2187,0.9395
60,train,0.1795,0.9487
60,val,0.2266,0.9382
61,train,0.1837,0.9469
61,val,0.2228,0.9421
62,train,0.1905,0.9436
62,val,0.2215,0.9408
63,train,0.1841,0.9471
63,val,0.2159,0.9415
64,train,0.1881,0.9449
64,val,0.2126,0.9428
65,train,0.1798,0.9452
65,val,0.2041,0.9428
66,train,0.1795,0.9463
66,val,0.2145,0.9428
67,train,0.1742,0.9477
67,val,0.2118,0.9460
68,train,0.1781,0.9501
68,val,0.2183,0.9395
69,train,0.1691,0.9488
69,val,0.2296,0.9408
70,train,0.1777,0.9502
70,val,0.2241,0.9421
71,train,0.1761,0.9491
71,val,0.2299,0.9402
72,train,0.1796,0.9457
72,val,0.2186,0.9421
73,train,0.1831,0.9457
73,val,0.2328,0.9389
74,train,0.1831,0.9456
74,val,0.2270,0.9369
75,train,0.1791,0.9477
75,val,0.2360,0.9350
76,train,0.1748,0.9467
76,val,0.2306,0.9408
77,train,0.1736,0.9501
77,val,0.2379,0.9376
78,train,0.1748,0.9509
78,val,0.2267,0.9369
79,train,0.1687,0.9505
79,val,0.2205,0.9415
80,train,0.1663,0.9508
80,val,0.2349,0.9395
81,train,0.1640,0.9532
81,val,0.2327,0.9369
82,train,0.1623,0.9511
82,val,0.2203,0.9389
83,train,0.1617,0.9530
83,val,0.2367,0.9382
