epoch,phase,loss,acc
0,train,1.8870,0.5370
0,val,1.1866,0.6879
1,train,1.2484,0.6658
1,val,0.7542,0.7744
2,train,1.0550,0.7027
2,val,0.6456,0.7978
3,train,0.9144,0.7344
3,val,0.5851,0.8277
4,train,0.8810,0.7479
4,val,0.6534,0.8023
5,train,0.7926,0.7660
5,val,0.4889,0.8518
6,train,0.7507,0.7811
6,val,0.5259,0.8375
7,train,0.7150,0.7958
7,val,0.4970,0.8680
8,train,0.6827,0.8049
8,val,0.4008,0.8719
9,train,0.6574,0.8039
9,val,0.6711,0.8023
10,train,0.6440,0.8112
10,val,0.5846,0.8309
11,train,0.6172,0.8225
11,val,0.4955,0.8531
12,train,0.5657,0.8337
12,val,0.5478,0.8342
13,train,0.5885,0.8259
13,val,0.4164,0.8700
14,train,0.5756,0.8343
14,val,0.4212,0.8830
15,train,0.5580,0.8339
15,val,0.4071,0.8765
16,train,0.5520,0.8372
16,val,0.3800,0.8817
17,train,0.5199,0.8444
17,val,0.3897,0.8856
18,train,0.5250,0.8477
18,val,0.3863,0.8804
19,train,0.5148,0.8491
19,val,0.4097,0.8849
20,train,0.4943,0.8518
20,val,0.3974,0.8869
21,train,0.5134,0.8473
21,val,0.3717,0.8882
22,train,0.4655,0.8600
22,val,0.4467,0.8726
23,train,0.4686,0.8604
23,val,0.4032,0.8875
24,train,0.4597,0.8651
24,val,0.3350,0.8953
25,train,0.4915,0.8533
25,val,0.3117,0.9051
26,train,0.4469,0.8665
26,val,0.3714,0.8966
27,train,0.4609,0.8578
27,val,0.3236,0.8986
28,train,0.4325,0.8672
28,val,0.3329,0.9025
29,train,0.4457,0.8639
29,val,0.3179,0.9018
30,train,0.4207,0.8726
30,val,0.3897,0.8849
31,train,0.4173,0.8762
31,val,0.3132,0.9090
32,train,0.4243,0.8760
32,val,0.3733,0.8927
33,train,0.4139,0.8727
33,val,0.3743,0.8940
34,train,0.4198,0.8779
34,val,0.3785,0.8901
35,train,0.4153,0.8744
35,val,0.4261,0.8921
36,train,0.4001,0.8781
36,val,0.3651,0.9038
37,train,0.3947,0.8811
37,val,0.3432,0.8927
38,train,0.3670,0.8876
38,val,0.4422,0.8726
39,train,0.3808,0.8863
39,val,0.5257,0.8518
40,train,0.4162,0.8741
40,val,0.2759,0.9148
41,train,0.3695,0.8888
41,val,0.4018,0.8947
42,train,0.3812,0.8849
42,val,0.3375,0.9103
43,train,0.3693,0.8852
43,val,0.3703,0.8927
44,train,0.3737,0.8855
44,val,0.3336,0.9083
45,train,0.3482,0.8937
45,val,0.3297,0.9116
46,train,0.3428,0.8941
46,val,0.3128,0.9129
47,train,0.3611,0.8911
47,val,0.3875,0.8960
48,train,0.3432,0.8933
48,val,0.3222,0.9038
49,train,0.3428,0.8969
49,val,0.3056,0.9103
50,train,0.2825,0.9150
50,val,0.2944,0.9181
51,train,0.2536,0.9245
51,val,0.2630,0.9207
52,train,0.2297,0.9284
52,val,0.2918,0.9207
53,train,0.2430,0.9250
53,val,0.2700,0.9265
54,train,0.2288,0.9318
54,val,0.2452,0.9259
55,train,0.2221,0.9325
55,val,0.3055,0.9174
56,train,0.2211,0.9304
56,val,0.2895,0.9233
57,train,0.2356,0.9260
57,val,0.2874,0.9272
58,train,0.2404,0.9283
58,val,0.2818,0.9233
59,train,0.2148,0.9357
59,val,0.2959,0.9200
60,train,0.2304,0.9306
60,val,0.2815,0.9285
61,train,0.2096,0.9355
61,val,0.2792,0.9226
62,train,0.2218,0.9326
62,val,0.2576,0.9291
63,train,0.2085,0.9339
63,val,0.3205,0.9207
64,train,0.2125,0.9379
64,val,0.3032,0.9207
65,train,0.2246,0.9325
65,val,0.3300,0.9187
66,train,0.2141,0.9336
66,val,0.2974,0.9213
67,train,0.2217,0.9326
67,val,0.2722,0.9278
68,train,0.2197,0.9316
68,val,0.2843,0.9220
69,train,0.2160,0.9318
69,val,0.2749,0.9252
70,train,0.2088,0.9371
70,val,0.2719,0.9272
71,train,0.2163,0.9361
71,val,0.2992,0.9200
72,train,0.2128,0.9351
72,val,0.2755,0.9265
73,train,0.2063,0.9374
73,val,0.2942,0.9174
74,train,0.1933,0.9390
74,val,0.2487,0.9298
75,train,0.1943,0.9390
75,val,0.2397,0.9291
76,train,0.1784,0.9448
76,val,0.2917,0.9213
77,train,0.1974,0.9382
77,val,0.3149,0.9194
78,train,0.1996,0.9401
78,val,0.2781,0.9239
79,train,0.2047,0.9375
79,val,0.3234,0.9174
80,train,0.2100,0.9374
80,val,0.2874,0.9246
81,train,0.1947,0.9415
81,val,0.2795,0.9252
82,train,0.1943,0.9400
82,val,0.3238,0.9161
83,train,0.2128,0.9361
83,val,0.2954,0.9246
84,train,0.1939,0.9389
84,val,0.3090,0.9187
85,train,0.1924,0.9445
85,val,0.3014,0.9168
86,train,0.2008,0.9383
86,val,0.2737,0.9304
87,train,0.1806,0.9429
87,val,0.3051,0.9220
88,train,0.1868,0.9442
88,val,0.3365,0.9135
89,train,0.1872,0.9408
89,val,0.3019,0.9278
90,train,0.1916,0.9424
90,val,0.2921,0.9291
91,train,0.1920,0.9408
91,val,0.2807,0.9369
92,train,0.1998,0.9400
92,val,0.2755,0.9239
93,train,0.1856,0.9449
93,val,0.2682,0.9278
94,train,0.1818,0.9435
94,val,0.2955,0.9278
95,train,0.1771,0.9457
95,val,0.3171,0.9174
96,train,0.1860,0.9441
96,val,0.2877,0.9246
97,train,0.1738,0.9460
97,val,0.2689,0.9304
98,train,0.1740,0.9460
98,val,0.3167,0.9207
99,train,0.1830,0.9434
99,val,0.3180,0.9174
100,train,0.1570,0.9512
100,val,0.2905,0.9233
101,train,0.1545,0.9536
101,val,0.2538,0.9311
102,train,0.1382,0.9580
102,val,0.2814,0.9272
103,train,0.1331,0.9571
103,val,0.3022,0.9285
104,train,0.1342,0.9571
104,val,0.2873,0.9265
105,train,0.1373,0.9573
105,val,0.2785,0.9298
106,train,0.1347,0.9586
106,val,0.2546,0.9337
107,train,0.1332,0.9569
107,val,0.3030,0.9285
108,train,0.1414,0.9597
108,val,0.2873,0.9233
109,train,0.1369,0.9573
109,val,0.3073,0.9226
110,train,0.1355,0.9587
110,val,0.2819,0.9265
111,train,0.1453,0.9583
111,val,0.2915,0.9220
112,train,0.1415,0.9611
112,val,0.2866,0.9298
113,train,0.1348,0.9582
113,val,0.2989,0.9285
114,train,0.1256,0.9632
114,val,0.2929,0.9298
115,train,0.1278,0.9603
115,val,0.2770,0.9265
116,train,0.1324,0.9604
116,val,0.2847,0.9285
117,train,0.1286,0.9603
117,val,0.2636,0.9298
118,train,0.1371,0.9585
118,val,0.2968,0.9246
119,train,0.1344,0.9586
119,val,0.2796,0.9252
120,train,0.1327,0.9580
120,val,0.2774,0.9298
121,train,0.1283,0.9638
121,val,0.2768,0.9272
122,train,0.1164,0.9642
122,val,0.2899,0.9304
123,train,0.1251,0.9631
123,val,0.2823,0.9265
124,train,0.1241,0.9624
124,val,0.2905,0.9304
125,train,0.1259,0.9617
125,val,0.2515,0.9363
