epoch,phase,loss,acc
0,train,3.1818,0.2924
0,val,2.1840,0.5351
1,train,1.8860,0.5699
1,val,1.3425,0.6931
2,train,1.4134,0.6556
2,val,0.9695,0.7581
3,train,1.1637,0.7013
3,val,0.7617,0.8049
4,train,1.0053,0.7381
4,val,0.6320,0.8231
5,train,0.9112,0.7596
5,val,0.5338,0.8492
6,train,0.8037,0.7845
6,val,0.4638,0.8648
7,train,0.7519,0.7908
7,val,0.4335,0.8700
8,train,0.6964,0.8044
8,val,0.3723,0.8836
9,train,0.6584,0.8174
9,val,0.3684,0.8901
10,train,0.6012,0.8293
10,val,0.3297,0.8966
11,train,0.5967,0.8311
11,val,0.3275,0.8973
12,train,0.5475,0.8446
12,val,0.2993,0.9038
13,train,0.5354,0.8453
13,val,0.2955,0.9090
14,train,0.5176,0.8547
14,val,0.2693,0.9168
15,train,0.4762,0.8627
15,val,0.2632,0.9174
16,train,0.4753,0.8659
16,val,0.2673,0.9181
17,train,0.4559,0.8670
17,val,0.2492,0.9194
18,train,0.4488,0.8695
18,val,0.2464,0.9259
19,train,0.4397,0.8764
19,val,0.2473,0.9285
20,train,0.4076,0.8838
20,val,0.2353,0.9285
21,train,0.4041,0.8814
21,val,0.2260,0.9278
22,train,0.4176,0.8804
22,val,0.2249,0.9324
23,train,0.3984,0.8839
23,val,0.2216,0.9278
24,train,0.3952,0.8867
24,val,0.2183,0.9298
25,train,0.3860,0.8895
25,val,0.2243,0.9304
26,train,0.3702,0.8926
26,val,0.2188,0.9330
27,train,0.3500,0.8968
27,val,0.2135,0.9324
28,train,0.3504,0.8976
28,val,0.2145,0.9317
29,train,0.3284,0.9048
29,val,0.2318,0.9272
30,train,0.3287,0.9063
30,val,0.2186,0.9278
31,train,0.3169,0.9088
31,val,0.2333,0.9239
32,train,0.3042,0.9147
32,val,0.2365,0.9285
33,train,0.3207,0.9090
33,val,0.2183,0.9317
34,train,0.3159,0.9025
34,val,0.2181,0.9311
35,train,0.3341,0.9030
35,val,0.2271,0.9285
36,train,0.3040,0.9091
36,val,0.2082,0.9317
37,train,0.2813,0.9175
37,val,0.2217,0.9369
38,train,0.2931,0.9141
38,val,0.2133,0.9343
39,train,0.2741,0.9196
39,val,0.2338,0.9337
40,train,0.2832,0.9183
40,val,0.2243,0.9311
