epoch,phase,loss,acc
0,train,2.2132,0.4567
0,val,1.9210,0.4993
1,train,1.6561,0.5616
1,val,1.9731,0.5559
2,train,1.4570,0.6086
2,val,1.6008,0.6443
3,train,1.3315,0.6333
3,val,1.0841,0.7289
4,train,1.2131,0.6693
4,val,0.9470,0.7536
5,train,1.1296,0.6855
5,val,0.9837,0.7237
6,train,1.0852,0.6981
6,val,0.8250,0.7562
7,train,0.9862,0.7144
7,val,0.9121,0.7510
8,train,0.9910,0.7256
8,val,0.8043,0.7672
9,train,0.9421,0.7258
9,val,0.6725,0.8088
10,train,0.9151,0.7384
10,val,1.0758,0.6912
11,train,0.8782,0.7491
11,val,0.5665,0.8251
12,train,0.8734,0.7530
12,val,0.6643,0.8017
13,train,0.8104,0.7646
13,val,0.6578,0.8069
14,train,0.8196,0.7646
14,val,0.5920,0.8231
15,train,0.7656,0.7756
15,val,0.5653,0.8283
16,train,0.7558,0.7757
16,val,0.5339,0.8492
17,train,0.7436,0.7855
17,val,0.5577,0.8309
18,train,0.7345,0.7846
18,val,0.5653,0.8251
19,train,0.7372,0.7855
19,val,0.6426,0.8153
20,train,0.6958,0.7935
20,val,0.5624,0.8309
21,train,0.6671,0.7986
21,val,0.5432,0.8316
22,train,0.6696,0.8009
22,val,0.7446,0.8082
23,train,0.6706,0.8060
23,val,0.5390,0.8355
24,train,0.6577,0.8090
24,val,0.5081,0.8446
25,train,0.6503,0.8094
25,val,0.5137,0.8557
26,train,0.6192,0.8154
26,val,0.6330,0.8108
27,train,0.6052,0.8174
27,val,0.4998,0.8583
28,train,0.6164,0.8146
28,val,0.4330,0.8732
29,train,0.6212,0.8172
29,val,0.4775,0.8537
30,train,0.5983,0.8248
30,val,0.5363,0.8498
31,train,0.5818,0.8241
31,val,0.6704,0.8056
32,train,0.5521,0.8286
32,val,0.4352,0.8719
33,train,0.5732,0.8249
33,val,0.5526,0.8251
34,train,0.5594,0.8333
34,val,0.4592,0.8596
35,train,0.5312,0.8402
35,val,0.5571,0.8550
36,train,0.5390,0.8417
36,val,0.5278,0.8524
37,train,0.5234,0.8413
37,val,0.8243,0.8010
38,train,0.5529,0.8328
38,val,0.5310,0.8563
39,train,0.5208,0.8452
39,val,0.4370,0.8706
40,train,0.5339,0.8381
40,val,0.4326,0.8823
41,train,0.5017,0.8476
41,val,0.4131,0.8784
42,train,0.5001,0.8480
42,val,0.5065,0.8505
43,train,0.5068,0.8462
43,val,0.9324,0.7581
44,train,0.4801,0.8541
44,val,0.4145,0.8661
45,train,0.4990,0.8474
45,val,0.4084,0.8758
46,train,0.4813,0.8533
46,val,0.4408,0.8771
47,train,0.4787,0.8562
47,val,0.3863,0.8804
48,train,0.4733,0.8571
48,val,0.4168,0.8836
49,train,0.4858,0.8512
49,val,0.4284,0.8817
50,train,0.3907,0.8809
50,val,0.3539,0.9044
51,train,0.3493,0.8925
51,val,0.3087,0.9057
52,train,0.3360,0.8971
52,val,0.3425,0.9005
53,train,0.3522,0.8923
53,val,0.3689,0.8940
54,train,0.3317,0.8982
54,val,0.3335,0.8966
