epoch,phase,loss,acc
0,train,3.2624,0.2426
0,val,2.3971,0.4434
1,train,2.0742,0.5167
1,val,1.4910,0.6508
2,train,1.5533,0.6182
2,val,1.0853,0.7237
3,train,1.2811,0.6761
3,val,0.8261,0.7659
4,train,1.1005,0.7108
4,val,0.6957,0.8082
5,train,0.9714,0.7440
5,val,0.6065,0.8283
6,train,0.8678,0.7638
6,val,0.5202,0.8420
7,train,0.8036,0.7760
7,val,0.5070,0.8420
8,train,0.7585,0.7926
8,val,0.4499,0.8498
9,train,0.6973,0.8009
9,val,0.4144,0.8719
10,train,0.6666,0.8116
10,val,0.3800,0.8830
11,train,0.6595,0.8132
11,val,0.3681,0.8830
12,train,0.5833,0.8340
12,val,0.3406,0.8875
13,train,0.5848,0.8330
13,val,0.3540,0.8869
14,train,0.5590,0.8393
14,val,0.3585,0.8830
15,train,0.5430,0.8477
15,val,0.3161,0.8973
16,train,0.5105,0.8497
16,val,0.3029,0.9012
17,train,0.5152,0.8460
17,val,0.3210,0.8979
18,train,0.4918,0.8574
18,val,0.3086,0.9018
19,train,0.4724,0.8599
19,val,0.2854,0.9129
20,train,0.4616,0.8645
20,val,0.2831,0.9135
21,train,0.4652,0.8610
21,val,0.2780,0.9096
22,train,0.4476,0.8683
22,val,0.2767,0.9168
23,train,0.4366,0.8753
23,val,0.2720,0.9194
24,train,0.4258,0.8775
24,val,0.2735,0.9207
25,train,0.4239,0.8754
25,val,0.2787,0.9096
26,train,0.4223,0.8755
26,val,0.2765,0.9161
27,train,0.3829,0.8844
27,val,0.2662,0.9148
28,train,0.3961,0.8846
28,val,0.2665,0.9129
29,train,0.3937,0.8876
29,val,0.2582,0.9233
30,train,0.3837,0.8901
30,val,0.2616,0.9207
31,train,0.3796,0.8863
31,val,0.2534,0.9220
32,train,0.3666,0.8922
32,val,0.2680,0.9174
33,train,0.3629,0.8927
33,val,0.2836,0.9200
34,train,0.3547,0.8951
34,val,0.2486,0.9272
35,train,0.3537,0.8955
35,val,0.2487,0.9213
36,train,0.3343,0.9014
36,val,0.2352,0.9239
37,train,0.3481,0.8960
37,val,0.2375,0.9298
38,train,0.3350,0.8993
38,val,0.2370,0.9272
39,train,0.3385,0.8972
39,val,0.2290,0.9278
40,train,0.3399,0.8979
40,val,0.2297,0.9278
41,train,0.3183,0.9080
41,val,0.2374,0.9285
42,train,0.3294,0.9052
42,val,0.2529,0.9194
43,train,0.3198,0.9083
43,val,0.2321,0.9239
44,train,0.3163,0.9041
44,val,0.2538,0.9168
45,train,0.3145,0.9070
45,val,0.2453,0.9239
46,train,0.2977,0.9112
46,val,0.2358,0.9298
47,train,0.3112,0.9073
47,val,0.2252,0.9239
48,train,0.3058,0.9099
48,val,0.2609,0.9233
49,train,0.2855,0.9140
49,val,0.2375,0.9233
50,train,0.2806,0.9199
50,val,0.2457,0.9226
51,train,0.2737,0.9211
51,val,0.2364,0.9226
52,train,0.2605,0.9236
52,val,0.2313,0.9272
53,train,0.2637,0.9220
53,val,0.2310,0.9259
54,train,0.2502,0.9276
54,val,0.2261,0.9278
55,train,0.2747,0.9206
55,val,0.2210,0.9304
56,train,0.2454,0.9311
56,val,0.2330,0.9246
57,train,0.2577,0.9234
57,val,0.2360,0.9252
58,train,0.2701,0.9213
58,val,0.2336,0.9239
59,train,0.2653,0.9202
59,val,0.2233,0.9317
60,train,0.2375,0.9297
60,val,0.2251,0.9304
61,train,0.2580,0.9234
61,val,0.2216,0.9311
62,train,0.2514,0.9256
62,val,0.2240,0.9311
63,train,0.2349,0.9323
63,val,0.2299,0.9304
64,train,0.2425,0.9315
64,val,0.2221,0.9356
65,train,0.2426,0.9269
65,val,0.2328,0.9311
66,train,0.2476,0.9246
66,val,0.2268,0.9298
67,train,0.2423,0.9299
67,val,0.2287,0.9324
68,train,0.2206,0.9337
68,val,0.2343,0.9317
69,train,0.2420,0.9262
