epoch,phase,loss,acc
0,train,2.7495,0.2993
0,val,2.0679,0.4408
1,train,2.2320,0.4065
1,val,1.8476,0.4987
2,train,2.0331,0.4563
2,val,2.0185,0.4610
3,train,1.9825,0.4701
3,val,1.8426,0.5007
4,train,1.8364,0.5008
4,val,1.4224,0.6151
5,train,1.7684,0.5198
5,val,1.5126,0.5878
6,train,1.6731,0.5518
6,val,1.3025,0.6216
7,train,1.6103,0.5658
7,val,1.1839,0.6567
8,train,1.5369,0.5806
8,val,1.2294,0.6547
9,train,1.5071,0.5882
9,val,1.2431,0.6437
10,train,1.4492,0.6050
10,val,1.1814,0.6625
11,train,1.3878,0.6216
11,val,1.2413,0.6586
12,train,1.3909,0.6129
12,val,1.1518,0.6782
13,train,1.3050,0.6398
13,val,1.0164,0.7042
14,train,1.2777,0.6494
14,val,0.9922,0.7159
15,train,1.2823,0.6455
15,val,1.0027,0.7211
16,train,1.2580,0.6522
16,val,0.9271,0.7321
17,train,1.2021,0.6718
17,val,0.9986,0.7165
18,train,1.2031,0.6673
18,val,0.8979,0.7341
19,train,1.1417,0.6817
19,val,0.8951,0.7438
20,train,1.1548,0.6747
20,val,0.8791,0.7399
21,train,1.1512,0.6827
21,val,0.8312,0.7575
22,train,1.0894,0.6982
22,val,0.8257,0.7633
23,train,1.1059,0.6890
23,val,0.8830,0.7503
24,train,1.0758,0.7003
24,val,0.8315,0.7607
25,train,1.0451,0.7056
25,val,0.8204,0.7627
26,train,1.0673,0.7023
26,val,0.9008,0.7380
27,train,1.0475,0.7048
27,val,0.7100,0.7815
28,train,0.9909,0.7217
28,val,0.7416,0.7848
29,train,1.0040,0.7143
29,val,0.8621,0.7471
30,train,0.9813,0.7252
30,val,0.7287,0.7867
31,train,0.9688,0.7262
31,val,0.6859,0.7906
32,train,0.9403,0.7377
32,val,0.7187,0.7913
33,train,0.9366,0.7343
33,val,0.6708,0.8036
34,train,0.9253,0.7405
34,val,0.7504,0.7874
35,train,0.9180,0.7323
35,val,0.6875,0.7919
36,train,0.8979,0.7440
36,val,0.6884,0.7926
37,train,0.8865,0.7476
37,val,0.6574,0.8082
38,train,0.8702,0.7473
38,val,0.6805,0.7984
39,train,0.9074,0.7424
39,val,0.6293,0.8043
40,train,0.8234,0.7626
40,val,0.7455,0.7874
41,train,0.8560,0.7518
41,val,0.6684,0.7952
42,train,0.8493,0.7602
42,val,0.5842,0.8218
43,train,0.8289,0.7637
43,val,0.5896,0.8147
44,train,0.8378,0.7540
44,val,0.5585,0.8290
45,train,0.8073,0.7649
45,val,0.6087,0.8218
46,train,0.8091,0.7638
46,val,0.6670,0.7965
