epoch,phase,loss,acc
0,train,2.3979,0.4420
0,val,1.2535,0.6769
1,train,1.3035,0.6607
1,val,0.7690,0.7848
2,train,1.0512,0.7114
2,val,0.6055,0.8225
3,train,0.9208,0.7395
3,val,0.5322,0.8375
4,train,0.8364,0.7705
4,val,0.5164,0.8518
5,train,0.7403,0.7895
5,val,0.4493,0.8596
6,train,0.7014,0.8058
6,val,0.4216,0.8687
7,train,0.6266,0.8142
7,val,0.3570,0.8979
8,train,0.6169,0.8188
8,val,0.3471,0.8856
9,train,0.6052,0.8237
9,val,0.3121,0.8953
10,train,0.5609,0.8329
10,val,0.3126,0.8947
11,train,0.5527,0.8368
11,val,0.3348,0.8986
12,train,0.5422,0.8404
12,val,0.3320,0.8940
13,train,0.5195,0.8479
13,val,0.2970,0.9122
14,train,0.5059,0.8507
14,val,0.3120,0.8992
15,train,0.4924,0.8533
15,val,0.2884,0.9018
16,train,0.4786,0.8596
16,val,0.2902,0.9038
17,train,0.4661,0.8642
17,val,0.2713,0.9116
18,train,0.4647,0.8628
18,val,0.2696,0.9187
19,train,0.4452,0.8688
19,val,0.2724,0.9148
20,train,0.4349,0.8698
20,val,0.3166,0.9051
21,train,0.4330,0.8719
21,val,0.2775,0.9018
22,train,0.4216,0.8715
22,val,0.2632,0.9161
23,train,0.4282,0.8699
23,val,0.2527,0.9135
24,train,0.4055,0.8762
24,val,0.2647,0.9135
25,train,0.4070,0.8778
25,val,0.2673,0.9116
26,train,0.3824,0.8858
26,val,0.2627,0.9129
27,train,0.4001,0.8814
27,val,0.2812,0.9135
28,train,0.3878,0.8848
28,val,0.2863,0.9194
29,train,0.3847,0.8885
29,val,0.2505,0.9220
30,train,0.3744,0.8888
30,val,0.2632,0.9220
31,train,0.3750,0.8883
31,val,0.2816,0.9135
32,train,0.3639,0.8912
32,val,0.2593,0.9239
33,train,0.3601,0.8975
33,val,0.2470,0.9226
34,train,0.3548,0.8933
34,val,0.2316,0.9233
35,train,0.3476,0.9009
35,val,0.2709,0.9148
36,train,0.3376,0.9002
36,val,0.2634,0.9200
37,train,0.3513,0.8965
37,val,0.2433,0.9278
38,train,0.3471,0.8926
38,val,0.2462,0.9226
39,train,0.3186,0.9034
39,val,0.2562,0.9207
40,train,0.3242,0.8983
40,val,0.2396,0.9207
41,train,0.3255,0.8996
41,val,0.2523,0.9239
42,train,0.3228,0.9004
42,val,0.2315,0.9317
43,train,0.3342,0.8968
43,val,0.2341,0.9330
44,train,0.3182,0.9050
44,val,0.2336,0.9291
45,train,0.3148,0.9053
45,val,0.2350,0.9259
46,train,0.2870,0.9136
46,val,0.2450,0.9317
47,train,0.3135,0.9095
47,val,0.2345,0.9330
48,train,0.3108,0.9060
48,val,0.2247,0.9311
49,train,0.2995,0.9102
49,val,0.2346,0.9278
50,train,0.2842,0.9157
50,val,0.2299,0.9330
51,train,0.2586,0.9236
51,val,0.2523,0.9304
52,train,0.2620,0.9228
52,val,0.2346,0.9330
53,train,0.2588,0.9227
53,val,0.2250,0.9324
54,train,0.2641,0.9199
54,val,0.2094,0.9389
55,train,0.2558,0.9214
55,val,0.2113,0.9382
56,train,0.2608,0.9224
56,val,0.2143,0.9369
57,train,0.2531,0.9248
