epoch,phase,loss,acc
0,train,3.0575,0.2244
0,val,2.7460,0.2841
1,train,2.7514,0.2780
1,val,2.4594,0.3231
2,train,2.5178,0.3321
2,val,2.2618,0.4031
3,train,2.5468,0.3310
3,val,2.1932,0.4343
4,train,2.3478,0.3798
4,val,2.2788,0.3648
5,train,2.3390,0.3760
5,val,2.1523,0.4220
6,train,2.2377,0.4036
6,val,1.9351,0.4616
7,train,2.0501,0.4460
7,val,1.6167,0.5442
8,train,2.2143,0.4111
8,val,1.8078,0.4967
9,train,2.0413,0.4501
9,val,1.8091,0.4967
10,train,2.0035,0.4659
10,val,1.6742,0.5332
11,train,1.8838,0.4907
11,val,1.6367,0.5533
12,train,1.8033,0.5037
12,val,1.4496,0.5865
13,train,1.7576,0.5188
13,val,1.4265,0.5917
14,train,1.7008,0.5352
14,val,1.3754,0.6060
15,train,1.6461,0.5476
15,val,1.4931,0.5845
16,train,1.6058,0.5662
16,val,1.3329,0.6203
17,train,1.5575,0.5771
17,val,1.3676,0.6203
18,train,1.5221,0.5816
18,val,1.2385,0.6346
19,train,1.5278,0.5784
19,val,1.2726,0.6385
20,train,1.4826,0.5922
20,val,1.2187,0.6456
21,train,1.4293,0.6050
21,val,1.1087,0.6749
22,train,1.4004,0.6110
22,val,1.1585,0.6684
23,train,1.3862,0.6181
23,val,1.1390,0.6736
24,train,1.3704,0.6171
24,val,1.0593,0.6951
25,train,1.3517,0.6254
25,val,1.2410,0.6469
26,train,1.3014,0.6367
26,val,1.0398,0.6990
27,train,1.2928,0.6396
27,val,1.0499,0.6860
28,train,1.2833,0.6377
28,val,1.1349,0.6788
29,train,1.2457,0.6536
29,val,1.0234,0.7068
30,train,1.2649,0.6496
30,val,0.8899,0.7380
31,train,1.1870,0.6631
31,val,0.8864,0.7419
32,train,1.1977,0.6696
32,val,1.0395,0.7022
33,train,1.1866,0.6662
33,val,1.1021,0.6847
34,train,1.1908,0.6656
34,val,0.9170,0.7269
35,train,1.1599,0.6731
35,val,0.9524,0.7224
36,train,1.1701,0.6691
36,val,0.9153,0.7406
37,train,1.1380,0.6788
37,val,0.9771,0.7217
38,train,1.1339,0.6778
38,val,0.8393,0.7451
39,train,1.1181,0.6872
39,val,0.7921,0.7653
40,train,1.0654,0.6933
40,val,0.8278,0.7497
41,train,1.1088,0.6883
41,val,0.8832,0.7354
42,train,1.0796,0.6935
42,val,0.7784,0.7646
43,train,1.0713,0.6991
43,val,0.7488,0.7848
44,train,1.0319,0.6978
44,val,0.7916,0.7666
45,train,1.0296,0.7077
45,val,0.8243,0.7542
46,train,1.0221,0.7020
46,val,0.8492,0.7588
47,train,1.0112,0.7126
47,val,0.7709,0.7640
48,train,0.9976,0.7104
48,val,0.8222,0.7620
49,train,1.0047,0.7128
49,val,0.8192,0.7536
50,train,0.8953,0.7389
50,val,0.6506,0.8043
51,train,0.8661,0.7535
51,val,0.6071,0.8186
52,train,0.8533,0.7511
52,val,0.6423,0.8030
53,train,0.8474,0.7484
53,val,0.6318,0.8082
54,train,0.8337,0.7595
54,val,0.7503,0.7880
55,train,0.8268,0.7602
55,val,0.6740,0.8049
56,train,0.8112,0.7655
56,val,0.6802,0.7945
57,train,0.8143,0.7677
57,val,0.6571,0.8049
58,train,0.8079,0.7621
58,val,0.6160,0.8186
59,train,0.8103,0.7617
59,val,0.7497,0.7887
60,train,0.7823,0.7736
60,val,0.5795,0.8199
61,train,0.7910,0.7676
61,val,0.6040,0.8199
62,train,0.7758,0.7687
62,val,0.6008,0.8134
63,train,0.7729,0.7736
63,val,0.5778,0.8218
64,train,0.7608,0.7771
64,val,0.5936,0.8192
65,train,0.7648,0.7770
65,val,0.5568,0.8244
66,train,0.7442,0.7792
66,val,0.5493,0.8329
67,train,0.7435,0.7877
67,val,0.6011,0.8264
68,train,0.7359,0.7846
68,val,0.5824,0.8264
69,train,0.7095,0.7884
69,val,0.6084,0.8192
70,train,0.7409,0.7823
70,val,0.5721,0.8303
71,train,0.7111,0.7856
71,val,0.5344,0.8453
72,train,0.7259,0.7824
72,val,0.5794,0.8192
73,train,0.7206,0.7870
73,val,0.6043,0.8205
74,train,0.7268,0.7853
74,val,0.5531,0.8329
75,train,0.7205,0.7873
75,val,0.5850,0.8205
76,train,0.7199,0.7901
76,val,0.5993,0.8238
77,train,0.7226,0.7844
77,val,0.6132,0.8212
78,train,0.7082,0.7905
78,val,0.6569,0.8095
79,train,0.7076,0.7916
79,val,0.5567,0.8290
80,train,0.6966,0.7936
80,val,0.6158,0.8199
81,train,0.6952,0.8010
81,val,0.6142,0.8199
82,train,0.7277,0.7887
82,val,0.5888,0.8238
83,train,0.6662,0.8028
83,val,0.5353,0.8296
84,train,0.6887,0.7963
84,val,0.5833,0.8303
85,train,0.7042,0.7929
85,val,0.5487,0.8322
86,train,0.6547,0.8049
86,val,0.5392,0.8381
87,train,0.6602,0.7993
87,val,0.5421,0.8368
88,train,0.6424,0.8048
88,val,0.5517,0.8388
89,train,0.6700,0.8006
89,val,0.5438,0.8368
90,train,0.6722,0.8014
90,val,0.5543,0.8349
91,train,0.6528,0.8016
91,val,0.5329,0.8407
92,train,0.6671,0.7996
92,val,0.5821,0.8225
93,train,0.6596,0.8042
93,val,0.5165,0.8427
94,train,0.6449,0.8098
94,val,0.5385,0.8414
95,train,0.6406,0.8067
95,val,0.6018,0.8257
96,train,0.6396,0.8073
96,val,0.5744,0.8349
97,train,0.6115,0.8188
97,val,0.5734,0.8277
98,train,0.6154,0.8133
98,val,0.5314,0.8453
99,train,0.6506,0.8065
99,val,0.5835,0.8342
100,train,0.5711,0.8266
100,val,0.5445,0.8433
101,train,0.5558,0.8343
101,val,0.5114,0.8537
102,train,0.5569,0.8319
102,val,0.4742,0.8609
103,train,0.5739,0.8287
103,val,0.5051,0.8615
104,train,0.5468,0.8372
104,val,0.4906,0.8609
105,train,0.5280,0.8421
105,val,0.4809,0.8589
106,train,0.5678,0.8316
106,val,0.4592,0.8628
107,train,0.5397,0.8365
107,val,0.5177,0.8531
108,train,0.5340,0.8341
108,val,0.4870,0.8511
109,train,0.5508,0.8330
109,val,0.4865,0.8648
110,train,0.5295,0.8413
110,val,0.5057,0.8511
111,train,0.5395,0.8396
111,val,0.4860,0.8635
112,train,0.5284,0.8413
112,val,0.5144,0.8550
113,train,0.5214,0.8434
113,val,0.4725,0.8667
114,train,0.5140,0.8427
114,val,0.4428,0.8693
115,train,0.5104,0.8458
115,val,0.4611,0.8700
116,train,0.4999,0.8417
116,val,0.4620,0.8693
117,train,0.5237,0.8403
117,val,0.4395,0.8706
118,train,0.5129,0.8465
118,val,0.4793,0.8641
119,train,0.5332,0.8379
119,val,0.4674,0.8680
120,train,0.5098,0.8479
120,val,0.4649,0.8680
121,train,0.5064,0.8476
121,val,0.4900,0.8615
122,train,0.5163,0.8409
122,val,0.4643,0.8700
123,train,0.4993,0.8470
123,val,0.4747,0.8570
124,train,0.5028,0.8518
124,val,0.4352,0.8693
125,train,0.5007,0.8494
125,val,0.4595,0.8680
126,train,0.5015,0.8459
126,val,0.4431,0.8732
127,train,0.5057,0.8494
127,val,0.4685,0.8654
128,train,0.4860,0.8544
128,val,0.4993,0.8622
129,train,0.4755,0.8560
129,val,0.4385,0.8810
130,train,0.4855,0.8501
130,val,0.4558,0.8693
131,train,0.4839,0.8502
131,val,0.4324,0.8758
132,train,0.5003,0.8508
132,val,0.5218,0.8531
133,train,0.4853,0.8522
133,val,0.4969,0.8654
134,train,0.4710,0.8586
134,val,0.4634,0.8641
135,train,0.4996,0.8474
135,val,0.4878,0.8654
136,train,0.4717,0.8522
136,val,0.5035,0.8609
137,train,0.4788,0.8551
137,val,0.4450,0.8765
138,train,0.4812,0.8520
138,val,0.4751,0.8674
139,train,0.4585,0.8575
139,val,0.4863,0.8706
140,train,0.5037,0.8501
140,val,0.4496,0.8726
141,train,0.4752,0.8560
141,val,0.4809,0.8661
142,train,0.4864,0.8551
142,val,0.4232,0.8713
143,train,0.4750,0.8546
143,val,0.4778,0.8719
144,train,0.4569,0.8597
144,val,0.4431,0.8765
145,train,0.4486,0.8589
145,val,0.4667,0.8752
146,train,0.4528,0.8646
146,val,0.4522,0.8700
147,train,0.4604,0.8635
147,val,0.5278,0.8661
148,train,0.4557,0.8613
148,val,0.5025,0.8661
149,train,0.4760,0.8516
149,val,0.4533,0.8726
150,train,0.4593,0.8616
150,val,0.4629,0.8719
151,train,0.4267,0.8692
151,val,0.4384,0.8823
152,train,0.4188,0.8743
152,val,0.4345,0.8771
153,train,0.4093,0.8754
153,val,0.4501,0.8648
154,train,0.4214,0.8688
154,val,0.4697,0.8706
155,train,0.4132,0.8736
155,val,0.4682,0.8706
156,train,0.4268,0.8730
156,val,0.4382,0.8739
157,train,0.4078,0.8765
157,val,0.4466,0.8719
158,train,0.4221,0.8709
158,val,0.4283,0.8778
159,train,0.4077,0.8783
159,val,0.4271,0.8797
160,train,0.3948,0.8846
160,val,0.4387,0.8745
161,train,0.3989,0.8739
161,val,0.4262,0.8810
162,train,0.3995,0.8793
162,val,0.4450,0.8791
163,train,0.4059,0.8762
163,val,0.4368,0.8804
164,train,0.3872,0.8842
164,val,0.4279,0.8830
165,train,0.3982,0.8765
165,val,0.4234,0.8810
166,train,0.3859,0.8809
166,val,0.4559,0.8797
167,train,0.4102,0.8744
167,val,0.4356,0.8888
168,train,0.4097,0.8726
168,val,0.4599,0.8758
169,train,0.4068,0.8747
169,val,0.4389,0.8843
170,train,0.3868,0.8802
170,val,0.4396,0.8784
171,train,0.4082,0.8775
171,val,0.4230,0.8895
172,train,0.3965,0.8796
172,val,0.4335,0.8804
173,train,0.3911,0.8778
173,val,0.4566,0.8758
174,train,0.3837,0.8800
174,val,0.4445,0.8778
175,train,0.3904,0.8814
175,val,0.4529,0.8745
176,train,0.3881,0.8776
176,val,0.4462,0.8784
177,train,0.3923,0.8816
177,val,0.5004,0.8719
178,train,0.3992,0.8771
178,val,0.4507,0.8791
179,train,0.3801,0.8837
179,val,0.4433,0.8849
180,train,0.3643,0.8888
180,val,0.4344,0.8882
