epoch,phase,loss,acc
0,train,2.1891,0.4819
0,val,1.1412,0.6970
1,train,1.1584,0.6904
1,val,0.7085,0.8036
2,train,0.9197,0.7406
2,val,0.6713,0.8030
3,train,0.8082,0.7736
3,val,0.4658,0.8602
4,train,0.7259,0.7905
4,val,0.4195,0.8583
5,train,0.6773,0.8013
5,val,0.4979,0.8368
6,train,0.6418,0.8190
6,val,0.3880,0.8823
7,train,0.6227,0.8197
7,val,0.3369,0.8888
8,train,0.5687,0.8312
8,val,0.3394,0.8888
9,train,0.5415,0.8388
9,val,0.3124,0.9044
10,train,0.5328,0.8480
10,val,0.3256,0.8882
11,train,0.4909,0.8571
11,val,0.3239,0.8979
12,train,0.4794,0.8565
12,val,0.3013,0.9122
13,train,0.4771,0.8614
13,val,0.2976,0.9083
14,train,0.4571,0.8639
14,val,0.2706,0.9174
15,train,0.4266,0.8736
15,val,0.2943,0.9090
16,train,0.4466,0.8646
16,val,0.2846,0.9051
17,train,0.4176,0.8734
17,val,0.2967,0.9064
18,train,0.4121,0.8779
18,val,0.2598,0.9168
19,train,0.3818,0.8834
19,val,0.2779,0.9122
20,train,0.3873,0.8797
20,val,0.2758,0.9187
21,train,0.3784,0.8909
21,val,0.2467,0.9187
22,train,0.3787,0.8870
22,val,0.2665,0.9135
23,train,0.3748,0.8873
23,val,0.2717,0.9194
24,train,0.3786,0.8862
24,val,0.2696,0.9220
25,train,0.3544,0.8927
25,val,0.2827,0.9103
26,train,0.3504,0.8947
26,val,0.2479,0.9246
27,train,0.3696,0.8895
27,val,0.2399,0.9187
28,train,0.3363,0.8997
28,val,0.2447,0.9259
29,train,0.3268,0.9020
29,val,0.2471,0.9285
30,train,0.3507,0.8979
30,val,0.2285,0.9285
31,train,0.3231,0.9035
31,val,0.2578,0.9285
32,train,0.3499,0.8975
32,val,0.2454,0.9285
33,train,0.3134,0.9034
33,val,0.2583,0.9246
34,train,0.3236,0.9034
34,val,0.2484,0.9233
35,train,0.2885,0.9099
35,val,0.2671,0.9096
36,train,0.2983,0.9116
36,val,0.2255,0.9298
37,train,0.2903,0.9091
37,val,0.2518,0.9233
38,train,0.3235,0.8990
38,val,0.2370,0.9265
39,train,0.2907,0.9130
39,val,0.2333,0.9291
40,train,0.2944,0.9137
40,val,0.2134,0.9350
41,train,0.2910,0.9161
41,val,0.2214,0.9272
42,train,0.2940,0.9132
42,val,0.2590,0.9239
43,train,0.2801,0.9132
43,val,0.2279,0.9220
44,train,0.2727,0.9186
44,val,0.2186,0.9259
45,train,0.2736,0.9189
45,val,0.2409,0.9304
46,train,0.2786,0.9144
46,val,0.2475,0.9168
47,train,0.2704,0.9174
47,val,0.2246,0.9291
48,train,0.2661,0.9204
48,val,0.2252,0.9278
49,train,0.2894,0.9150
49,val,0.2179,0.9330
50,train,0.2424,0.9284
50,val,0.2147,0.9343
51,train,0.2300,0.9301
51,val,0.2241,0.9298
52,train,0.2345,0.9264
52,val,0.2300,0.9298
53,train,0.2271,0.9319
53,val,0.2310,0.9317
54,train,0.2209,0.9343
54,val,0.2472,0.9272
55,train,0.2288,0.9302
55,val,0.2165,0.9337
56,train,0.2382,0.9312
56,val,0.2188,0.9343
57,train,0.2151,0.9367
57,val,0.2310,0.9252
58,train,0.2307,0.9309
58,val,0.2198,0.9304
59,train,0.2145,0.9319
59,val,0.2105,0.9369
60,train,0.2015,0.9390
60,val,0.2177,0.9324
61,train,0.2146,0.9341
61,val,0.2132,0.9291
62,train,0.2243,0.9302
62,val,0.2140,0.9356
63,train,0.2175,0.9319
63,val,0.2047,0.9376
64,train,0.2149,0.9354
64,val,0.2413,0.9239
65,train,0.2111,0.9343
65,val,0.2014,0.9376
66,train,0.2162,0.9346
66,val,0.2257,0.9272
67,train,0.2149,0.9332
67,val,0.2199,0.9343
68,train,0.2131,0.9339
68,val,0.2125,0.9324
69,train,0.2188,0.9353
69,val,0.2218,0.9317
70,train,0.1966,0.9397
70,val,0.2357,0.9265
71,train,0.2048,0.9362
71,val,0.2157,0.9324
72,train,0.1992,0.9415
72,val,0.2059,0.9376
73,train,0.2102,0.9337
73,val,0.2169,0.9330
74,train,0.2056,0.9354
74,val,0.2112,0.9408
75,train,0.1956,0.9400
75,val,0.1992,0.9376
76,train,0.1964,0.9406
76,val,0.2096,0.9363
77,train,0.2022,0.9385
77,val,0.2313,0.9272
78,train,0.2060,0.9406
78,val,0.2183,0.9350
79,train,0.2077,0.9382
79,val,0.2102,0.9337
80,train,0.2051,0.9390
80,val,0.2111,0.9356
81,train,0.1998,0.9381
81,val,0.2002,0.9389
82,train,0.2090,0.9413
82,val,0.2335,0.9317
83,train,0.1932,0.9438
83,val,0.2184,0.9363
84,train,0.1914,0.9441
84,val,0.2229,0.9382
85,train,0.1943,0.9411
85,val,0.2180,0.9291
86,train,0.1951,0.9381
86,val,0.2262,0.9356
87,train,0.1849,0.9456
87,val,0.2119,0.9382
88,train,0.1933,0.9410
88,val,0.2141,0.9337
89,train,0.1849,0.9450
89,val,0.2282,0.9363
90,train,0.1893,0.9438
90,val,0.2242,0.9382
91,train,0.1921,0.9399
91,val,0.2302,0.9324
92,train,0.1909,0.9420
92,val,0.2294,0.9330
93,train,0.1924,0.9422
93,val,0.2340,0.9317
94,train,0.1816,0.9455
94,val,0.2109,0.9382
95,train,0.1973,0.9399
95,val,0.2348,0.9311
96,train,0.1973,0.9425
96,val,0.2236,0.9317
97,train,0.2022,0.9408
97,val,0.2207,0.9382
98,train,0.1848,0.9420
98,val,0.2253,0.9389
99,train,0.1898,0.9425
99,val,0.2222,0.9356
100,train,0.1854,0.9452
100,val,0.2261,0.9324
101,train,0.1777,0.9477
101,val,0.2220,0.9350
102,train,0.1751,0.9456
102,val,0.2352,0.9304
103,train,0.1730,0.9490
103,val,0.2213,0.9356
104,train,0.1628,0.9492
104,val,0.2125,0.9363
105,train,0.1706,0.9480
105,val,0.2205,0.9350
106,train,0.1651,0.9519
106,val,0.2303,0.9343
107,train,0.1644,0.9504
107,val,0.2239,0.9343
108,train,0.1691,0.9484
108,val,0.2182,0.9376
109,train,0.1595,0.9539
109,val,0.2072,0.9376
110,train,0.1627,0.9520
110,val,0.2235,0.9363
111,train,0.1695,0.9495
111,val,0.2122,0.9408
112,train,0.1718,0.9481
112,val,0.2132,0.9389
113,train,0.1573,0.9527
113,val,0.2183,0.9376
114,train,0.1780,0.9464
114,val,0.2180,0.9382
115,train,0.1578,0.9491
115,val,0.2174,0.9343
116,train,0.1673,0.9494
116,val,0.2261,0.9356
117,train,0.1695,0.9495
117,val,0.2227,0.9376
118,train,0.1688,0.9485
118,val,0.2314,0.9337
119,train,0.1548,0.9502
119,val,0.2191,0.9389
120,train,0.1621,0.9553
120,val,0.2113,0.9389
121,train,0.1647,0.9532
121,val,0.2193,0.9376
122,train,0.1662,0.9491
122,val,0.2275,0.9337
123,train,0.1709,0.9480
123,val,0.2261,0.9343
124,train,0.1694,0.9512
124,val,0.2204,0.9311
125,train,0.1609,0.9512
125,val,0.2328,0.9350
