epoch,phase,loss,acc
0,train,3.0802,0.2189
0,val,2.4946,0.3355
1,train,2.7245,0.2762
1,val,2.4091,0.3349
2,train,2.6712,0.2945
2,val,2.6529,0.2711
3,train,2.4574,0.3495
3,val,2.1321,0.4161
4,train,2.3584,0.3695
4,val,2.0341,0.4551
5,train,2.2031,0.4023
5,val,1.8921,0.4928
6,train,2.1182,0.4264
6,val,1.7856,0.5046
7,train,2.0554,0.4359
7,val,1.6868,0.5254
8,train,1.9636,0.4683
8,val,1.6417,0.5436
9,train,1.9420,0.4720
9,val,1.5962,0.5442
10,train,1.8958,0.4799
10,val,1.5196,0.5735
11,train,1.9665,0.4720
11,val,1.5550,0.5806
12,train,1.8201,0.5019
12,val,1.4847,0.5728
13,train,1.7459,0.5206
13,val,1.4542,0.5839
14,train,1.7353,0.5208
14,val,1.3249,0.6164
15,train,1.6674,0.5398
15,val,1.3681,0.6222
16,train,1.6360,0.5478
16,val,1.2134,0.6541
17,train,1.5875,0.5617
17,val,1.1814,0.6547
18,train,1.5947,0.5616
18,val,1.1554,0.6651
19,train,1.5321,0.5809
19,val,1.1165,0.6678
20,train,1.4907,0.5812
20,val,1.1877,0.6456
21,train,1.4761,0.5925
21,val,1.1394,0.6762
22,train,1.4530,0.5968
22,val,1.0656,0.6814
23,train,1.4421,0.6031
23,val,1.2570,0.6326
24,train,1.4161,0.6066
24,val,1.0402,0.7016
25,train,1.3991,0.6128
25,val,1.0188,0.6938
26,train,1.3354,0.6343
26,val,0.9925,0.7061
27,train,1.3063,0.6367
27,val,0.9760,0.7146
28,train,1.3011,0.6354
28,val,0.9216,0.7367
29,train,1.2941,0.6352
29,val,1.0218,0.6938
30,train,1.2531,0.6510
30,val,0.9301,0.7172
31,train,1.2283,0.6547
31,val,0.8801,0.7477
32,train,1.2144,0.6628
32,val,0.8675,0.7419
33,train,1.2246,0.6550
33,val,1.0109,0.7042
34,train,1.1908,0.6672
34,val,0.8993,0.7302
35,train,1.1726,0.6704
35,val,1.0090,0.7055
36,train,1.1629,0.6782
36,val,0.9074,0.7328
37,train,1.1430,0.6763
37,val,0.8806,0.7464
38,train,1.1411,0.6828
38,val,0.9155,0.7321
39,train,1.1024,0.6905
39,val,0.8478,0.7438
40,train,1.0798,0.6944
40,val,0.9385,0.7230
41,train,1.1082,0.6869
41,val,0.7969,0.7698
42,train,1.0789,0.6972
