epoch,phase,loss,acc
0,train,2.3590,0.4325
0,val,1.1962,0.6710
1,train,1.3469,0.6466
1,val,0.7995,0.7555
2,train,1.0995,0.6967
2,val,0.6437,0.8075
3,train,0.9456,0.7321
3,val,0.5979,0.8140
4,train,0.8354,0.7603
4,val,0.5012,0.8505
5,train,0.7691,0.7768
5,val,0.4580,0.8622
6,train,0.7382,0.7855
6,val,0.4306,0.8661
7,train,0.6739,0.8037
7,val,0.4360,0.8635
8,train,0.6454,0.8109
8,val,0.4291,0.8615
9,train,0.6011,0.8220
9,val,0.3757,0.8849
10,train,0.5810,0.8319
10,val,0.3490,0.8895
11,train,0.5618,0.8393
11,val,0.3214,0.9083
12,train,0.5445,0.8416
12,val,0.3832,0.8791
13,train,0.5188,0.8474
13,val,0.3576,0.8908
14,train,0.5211,0.8477
14,val,0.3322,0.8979
15,train,0.4907,0.8533
15,val,0.3015,0.9103
16,train,0.4763,0.8574
16,val,0.2953,0.9103
17,train,0.4715,0.8604
17,val,0.3188,0.9057
18,train,0.4484,0.8642
18,val,0.3001,0.9005
19,train,0.4364,0.8705
19,val,0.2855,0.9103
20,train,0.4352,0.8688
20,val,0.3562,0.8862
21,train,0.4197,0.8734
21,val,0.2867,0.9025
22,train,0.4387,0.8672
22,val,0.2980,0.9064
23,train,0.4024,0.8778
23,val,0.2709,0.9220
24,train,0.4174,0.8750
24,val,0.2908,0.9096
25,train,0.4169,0.8740
25,val,0.2421,0.9187
26,train,0.3740,0.8849
26,val,0.2927,0.9109
27,train,0.4055,0.8796
27,val,0.2452,0.9226
28,train,0.3809,0.8816
28,val,0.2684,0.9181
29,train,0.3704,0.8846
29,val,0.3313,0.9103
30,train,0.3649,0.8838
30,val,0.2963,0.9025
31,train,0.3692,0.8918
31,val,0.2631,0.9181
32,train,0.3644,0.8902
32,val,0.2817,0.9129
33,train,0.3443,0.8965
33,val,0.2704,0.9259
34,train,0.3559,0.8957
34,val,0.2628,0.9148
35,train,0.3472,0.8974
35,val,0.2749,0.9194
36,train,0.3335,0.8979
36,val,0.2468,0.9285
37,train,0.3312,0.8967
37,val,0.2833,0.9161
38,train,0.3354,0.9010
38,val,0.2515,0.9239
39,train,0.3213,0.9020
39,val,0.2415,0.9259
40,train,0.3321,0.9023
40,val,0.2787,0.9239
41,train,0.3256,0.9045
41,val,0.2788,0.9161
42,train,0.3102,0.9017
42,val,0.2695,0.9174
43,train,0.3049,0.9060
43,val,0.2528,0.9285
44,train,0.3119,0.9084
44,val,0.2629,0.9187
45,train,0.2988,0.9070
45,val,0.2400,0.9304
46,train,0.3042,0.9101
46,val,0.2641,0.9233
47,train,0.2951,0.9144
47,val,0.2511,0.9187
48,train,0.3019,0.9099
48,val,0.2468,0.9220
49,train,0.2808,0.9134
49,val,0.2608,0.9226
50,train,0.2635,0.9207
50,val,0.2294,0.9298
51,train,0.2370,0.9273
51,val,0.2282,0.9285
52,train,0.2451,0.9248
52,val,0.2161,0.9330
53,train,0.2505,0.9259
53,val,0.2325,0.9324
54,train,0.2398,0.9299
54,val,0.2236,0.9337
55,train,0.2557,0.9227
55,val,0.2416,0.9298
56,train,0.2479,0.9228
56,val,0.2560,0.9343
57,train,0.2361,0.9273
57,val,0.2287,0.9343
58,train,0.2559,0.9228
58,val,0.2267,0.9337
59,train,0.2454,0.9270
59,val,0.2225,0.9363
60,train,0.2372,0.9305
60,val,0.2202,0.9343
61,train,0.2444,0.9264
61,val,0.2418,0.9304
62,train,0.2250,0.9332
62,val,0.2345,0.9285
63,train,0.2220,0.9332
63,val,0.2160,0.9363
64,train,0.2442,0.9284
64,val,0.2199,0.9343
65,train,0.2422,0.9312
65,val,0.2223,0.9298
66,train,0.2472,0.9246
66,val,0.2228,0.9304
67,train,0.2314,0.9312
67,val,0.2392,0.9278
68,train,0.2216,0.9329
