iter	Passed	Remaining
0	46	46057
1	95	47758
2	137	45670
3	179	44721
4	223	44533
5	268	44485
6	318	45111
7	366	45396
8	415	45731
9	462	45783
10	512	46044
11	560	46144
12	608	46168
13	659	46432
14	707	46475
15	752	46279
16	795	46022
17	841	45912
18	886	45796
19	937	45956
20	990	46154
21	1038	46155
22	1087	46196
23	1137	46273
24	1185	46235
25	1236	46334
26	1289	46477
27	1341	46585
28	1393	46643
29	1444	46689
30	1496	46783
31	1550	46911
32	1601	46935
33	1654	47012
34	1707	47076
35	1755	47014
36	1807	47051
37	1859	47079
38	1911	47098
39	1961	47071
40	2011	47049
41	2063	47077
42	2114	47054
43	2167	47097
44	2219	47099
45	2270	47097
46	2320	47047
47	2371	47039
48	2423	47035
49	2476	47049
50	2526	47007
51	2574	46943
52	2624	46900
53	2678	46922
54	2728	46875
55	2781	46883
56	2830	46823
57	2882	46819
58	2933	46792
59	2987	46801
60	3039	46793
61	3091	46768
62	3145	46777
63	3194	46712
64	3245	46690
65	3292	46590
66	3346	46602
67	3394	46524
68	3444	46475
69	3497	46464
70	3548	46429
71	3596	46356
72	3650	46352
73	3701	46317
74	3752	46282
75	3801	46215
76	3851	46170
77	3902	46127
78	3950	46058
79	3995	45945
80	4041	45855
81	4095	45846
82	4146	45816
83	4195	45755
84	4243	45675
85	4288	45580
86	4335	45500
87	4386	45458
88	4434	45387
89	4485	45350
90	4534	45293
91	4579	45195
92	4628	45138
93	4679	45099
94	4729	45058
95	4778	44999
96	4826	44928
97	4876	44885
98	4924	44816
99	4970	44735
100	5016	44654
101	5067	44611
102	5114	44542
103	5160	44458
104	5211	44423
105	5260	44370
106	5308	44303
107	5358	44259
108	5407	44203
109	5453	44126
110	5503	44080
111	5552	44027
112	5601	43972
113	5649	43910
114	5697	43842
115	5747	43796
116	5795	43737
117	5843	43677
118	5891	43614
119	5937	43545
120	5985	43478
121	6031	43408
122	6078	43338
123	6125	43275
124	6174	43224
125	6219	43141
126	6267	43085
127	6317	43039
128	6360	42947
129	6406	42871
130	6454	42814
131	6501	42755
132	6549	42693
133	6596	42631
134	6643	42569
135	6691	42510
136	6740	42457
137	6788	42403
138	6836	42349
139	6884	42291
140	6931	42229
141	6984	42200
142	7035	42161
143	7084	42112
144	7131	42051
145	7180	42002
146	7226	41934
147	7269	41849
148	7318	41796
149	7365	41739
150	7415	41691
151	7463	41636
152	7512	41586
153	7558	41524
154	7607	41474
